spotify_id,daily_rank,daily_movement,weekly_movement,country,popularity,is_explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0J9g1MMJDhyvOb3NWckHMm,44,3,6,HN,88,TRUE,219333,0.852,0.881,5,-2.546,0,0.126,0.0602,6.44E-06,0.0682,0.556,96.984,4
3cDyocF0Ibdfs1SFQk5cLZ,45,-1,-1,HN,91,TRUE,199946,0.822,0.711,6,-4.943,1,0.0668,0.179,1.46E-05,0.083,0.934,102.984,4
5Eax0qFko2dh7Rl2lYs3bx,46,-1,-5,HN,86,TRUE,213061,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73E-05,0.0639,0.234,98.047,4
2HafqoJbgXdtjwCOvNEF14,47,3,2,HN,97,FALSE,184061,0.537,0.421,5,-8.72,1,0.0285,0.827,0,0.138,0.524,98.224,4
05WVKTdZhlIMX4qqMLuo0f,48,2,2,HN,85,TRUE,197333,0.72,0.88,9,-2.834,1,0.101,0.0562,0.06,0.153,0.463,180.011,4
2sTDlCxmuZCTDKKk9f1qus,49,-1,-4,HN,82,TRUE,231704,0.651,0.799,9,-4.02,0,0.0611,0.143,0.634,0.112,0.223,143.992,4
3upTB6o5YgeALHgDp3mzte,50,-15,0,HN,81,FALSE,239637,0.497,0.501,2,-4.141,1,0.03,0.305,0,0.377,0.669,109.732,1
4ja627NyIBCz7wO2dYr83g,1,0,0,HK,72,FALSE,224513,0.52,0.306,7,-9.94,1,0.0302,0.922,9.29E-05,0.212,0.369,141.313,4
1xRMtDxiU8xxAlaDscHIoT,2,0,0,HK,72,FALSE,232489,0.493,0.803,6,-6.829,0,0.0898,0.0504,0,0.245,0.246,173.901,4
2CwGJLH5jTBlVQhMfjCc6e,3,0,0,HK,72,FALSE,246143,0.631,0.865,3,-4.415,0,0.221,0.11,0,0.0866,0.51,172.716,4
1sb71AvysPMJlsx4qYtTpG,4,0,1,HK,62,FALSE,222668,0.513,0.373,5,-10.54,1,0.0418,0.596,0,0.121,0.338,134.269,4
11IqNbLOD4s4nVYSuEttFR,5,0,-1,HK,66,FALSE,232007,0.646,0.452,0,-8.152,1,0.0307,0.723,0,0.117,0.266,94.566,4
6T0wCHIh2rW5XC5IubguVS,6,0,1,HK,64,FALSE,178920,0.604,0.481,4,-7.113,1,0.0305,0.649,0,0.154,0.556,139.02,3
2HRgqmZQC0MC7GeNuDIXHN,7,0,-1,HK,90,TRUE,183550,0.79,0.831,11,-4.185,1,0.044,0.312,0,0.0797,0.872,124.987,4
2Yccw4AWlnf8BMcD4rnlFc,8,0,0,HK,67,FALSE,200027,0.713,0.866,5,-3.852,0,0.0792,0.136,0,0.0926,0.62,125.049,4
4bzylGLMAjkb8AYCcsu96R,9,2,3,HK,62,FALSE,202538,0.729,0.774,2,-3.246,1,0.107,0.0758,0,0.0637,0.416,99.999,4
74X2u8JMVooG2QbjRxXwR8,10,0,1,HK,90,FALSE,159080,0.697,0.82,5,-4.502,1,0.0308,0.1,0,0.0631,0.502,136.054,4
3uHE0cVFDFDORAVhwLqL4p,11,-2,-2,HK,63,FALSE,313944,0.384,0.373,0,-7.503,1,0.0305,0.761,2.38E-06,0.113,0.229,177.818,4
2N0SPREDYqILVEFSsWF5N5,12,0,-2,HK,90,FALSE,182293,0.633,0.607,0,-6.182,0,0.0532,0.183,1.38E-06,0.167,0.363,74.029,4
1rPPxVHA0YWiUzxzuFlQDN,13,2,0,HK,65,FALSE,278670,0.445,0.387,9,-9.691,1,0.032,0.838,0,0.108,0.425,168.189,4
0GoEr3439Go5CGHL6fw1US,14,2,0,HK,62,FALSE,205845,0.61,0.671,10,-7.05,1,0.0427,0.466,0,0.106,0.275,131.996,4
2fOpn6RdCJzcYl32PZCMM3,15,-1,0,HK,63,FALSE,244488,0.622,0.453,7,-8.391,1,0.0376,0.591,0,0.1,0.465,129.933,4
7mz4dDKFWSwj7cjnJeITBH,16,1,3,HK,61,FALSE,242778,0.563,0.413,3,-7.624,1,0.0331,0.805,0,0.142,0.483,139.851,4
3mVO7XaN9ULGNuXteiCOz3,17,5,4,HK,62,FALSE,250677,0.466,0.471,10,-8.524,1,0.039,0.5,0,0.113,0.229,146.879,4
1BxfuPKGuaTgP7aM0Bbdwr,18,2,2,HK,98,FALSE,178426,0.552,0.702,9,-5.707,1,0.157,0.117,2.06E-05,0.105,0.564,169.994,4
01qFKNWq73UfEslI0GvumE,19,0,-1,HK,86,TRUE,201812,0.853,0.824,1,-3.287,1,0.103,0.0322,0,0.0859,0.888,108.044,4
0bYg9bo50gSsH3LtXe2SQn,20,-7,14,HK,100,FALSE,241106,0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,4
6UoBjdkU2bnuYqCXFDqME0,21,6,2,HK,64,FALSE,170400,0.807,0.803,2,-4.355,1,0.106,0.0365,0,0.0881,0.493,99.985,4
2KslE17cAJNHTsI2MI0jb2,22,4,-6,HK,97,FALSE,206019,0.711,0.809,2,-4.389,0,0.0955,0.0447,0,0.339,0.816,106.017,4
5h1BN75CEh8wdSwE1xrbSe,23,-2,-6,HK,93,FALSE,187026,0.579,0.63,8,-7.758,1,0.058,0.257,0.00462,0.0986,0.552,155.96,4
3x2hKSUf8O8IqI1shmxGnp,24,1,-2,HK,59,FALSE,223950,0.679,0.563,10,-7.009,1,0.0334,0.503,0,0.102,0.631,107.014,4
7nJlkwxJSNDqO20WWeLuNX,25,-2,0,HK,62,FALSE,233188,0.644,0.855,5,-3.426,0,0.248,0.073,0,0.132,0.67,155.93,4
06qMRF18gwbOYYbnP2du6i,26,-8,19,HK,89,FALSE,265960,0.733,0.598,2,-8.228,1,0.0278,0.212,3.71E-06,0.156,0.935,107.732,4
3rUGC1vUpkDG9CZFHMur1t,27,3,-1,HK,99,TRUE,131872,0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,1
3IxGmKdOkv7tgMCzyKF2Xm,28,0,-1,HK,57,FALSE,263133,0.55,0.557,2,-7.033,1,0.0382,0.748,0,0.111,0.369,141.791,4
5XWlyfo0kZ8LF7VSyfS4Ew,29,0,-5,HK,88,FALSE,214973,0.644,0.872,6,-1.54,0,0.0417,0.164,0,0.363,0.378,131.016,4
0zEBpYDhSzcvAvypqOqm5G,30,2,0,HK,60,FALSE,184368,0.53,0.931,6,-5.469,0,0.123,0.00396,1.13E-06,0.305,0.746,179.987,4
1ZrnCyms7CBYsCvkkVIkt8,31,0,-2,HK,60,FALSE,273390,0.491,0.533,9,-7.594,1,0.0473,0.393,0,0.0944,0.214,149.856,4
0lizgQ7Qw35od7CYaoMBZb,32,-8,18,HK,96,FALSE,204093,0.525,0.621,7,-7.364,1,0.116,0.0489,0,0.294,0.591,191.9,4
6lfMr5SEeFdpMeIJxw5n1I,33,0,4,HK,59,FALSE,225527,0.736,0.692,7,-6.654,1,0.0643,0.485,0,0.141,0.382,132.01,4
6bMgCXapeQEVFgAOr8EvgY,34,0,4,HK,59,FALSE,233187,0.485,0.452,7,-7.212,1,0.0379,0.436,7.07E-06,0.196,0.158,133.517,4
5sdQOyqq2IDhvmx2lHOpwd,35,0,0,HK,90,FALSE,154666,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44E-05,0.146,0.515,149.921,4
6flgMTTqhbJSNryAPCYcvA,36,2,-5,HK,58,FALSE,258924,0.411,0.482,9,-8.081,1,0.0475,0.574,0,0.227,0.261,172.079,4
1hAloWiinXLPQUJxrJReb1,37,0,-9,HK,77,FALSE,211733,0.457,0.941,10,-2.692,0,0.0917,0.105,1.38E-06,0.437,0.876,165.783,4
